Entity,Code,Day,people_vaccinated
Alabama,,2021-01-12,70861
Alabama,,2021-01-13,74792
Alabama,,2021-01-14,80480
Alabama,,2021-01-15,86956
Alabama,,2021-01-19,114319
Alabama,,2021-01-20,121113
Alabama,,2021-01-21,144429
Alabama,,2021-01-22,174317
Alabama,,2021-01-23,193955
Alabama,,2021-01-24,213833
Alabama,,2021-01-25,220464
Alabama,,2021-01-26,223854
Alabama,,2021-01-27,232633
Alabama,,2021-01-28,241337
Alabama,,2021-01-29,256601
Alabama,,2021-01-30,288368
Alabama,,2021-01-31,298301
Alabama,,2021-02-01,301628
Alabama,,2021-02-02,312711
Alabama,,2021-02-03,324998
Alabama,,2021-02-04,338845
Alabama,,2021-02-05,353522
Alabama,,2021-02-06,370275
Alabama,,2021-02-07,375567
Alabama,,2021-02-08,378514
Alabama,,2021-02-09,395196
Alabama,,2021-02-10,412462
Alabama,,2021-02-11,431259
Alabama,,2021-02-12,448071
Alabama,,2021-02-13,467032
Alabama,,2021-02-14,474065
Alabama,,2021-02-16,486206
Alabama,,2021-02-17,494424
Alabama,,2021-02-18,505660
Alabama,,2021-02-19,545431
Alabama,,2021-02-20,560968
Alabama,,2021-02-21,567505
Alabama,,2021-02-22,583741
Alabama,,2021-02-23,593936
Alabama,,2021-02-24,604602
Alabama,,2021-02-25,615100
Alabama,,2021-02-26,627063
Alabama,,2021-02-27,643208
Alabama,,2021-02-28,649745
Alabama,,2021-03-01,653309
Alabama,,2021-03-02,663187
Alabama,,2021-03-03,674810
Alabama,,2021-03-04,688791
Alabama,,2021-03-05,704173
Alabama,,2021-03-06,721109
Alabama,,2021-03-07,727681
Alabama,,2021-03-08,732967
Alabama,,2021-03-09,747268
Alabama,,2021-03-10,768502
Alabama,,2021-03-11,790864
Alabama,,2021-03-12,816418
Alabama,,2021-03-13,841394
Alabama,,2021-03-14,849337
Alabama,,2021-03-15,854302
Alabama,,2021-03-16,871536
Alabama,,2021-03-17,893767
Alabama,,2021-03-18,912663
Alabama,,2021-03-19,937614
Alabama,,2021-03-20,960539
Alabama,,2021-03-21,968459
Alabama,,2021-03-22,972986
Alabama,,2021-03-23,994253
Alabama,,2021-03-24,1019858
Alabama,,2021-03-25,1048838
Alabama,,2021-03-26,1072623
Alabama,,2021-03-27,1098597
Alabama,,2021-03-28,1108253
Alabama,,2021-03-29,1113924
Alabama,,2021-03-30,1134739
Alabama,,2021-03-31,1155139
Alabama,,2021-04-01,1184284
Alabama,,2021-04-02,1211424
Alabama,,2021-04-03,1234131
Alabama,,2021-04-04,1242706
Alabama,,2021-04-05,1248029
Alabama,,2021-04-06,1267859
Alabama,,2021-04-07,1291487
Alabama,,2021-04-08,1317995
Alabama,,2021-04-09,1344658
Alabama,,2021-04-10,1371201
Alabama,,2021-04-11,1382951
Alabama,,2021-04-12,1389598
Alabama,,2021-04-13,1407463
Alabama,,2021-04-14,1426530
Alabama,,2021-04-15,1442051
Alabama,,2021-04-16,1459377
Alabama,,2021-04-17,1476162
Alabama,,2021-04-18,1481314
Alabama,,2021-04-19,1483779
Alabama,,2021-04-20,1494421
Alabama,,2021-04-21,1507116
Alabama,,2021-04-22,1518928
Alabama,,2021-04-23,1531741
Alabama,,2021-04-24,1543544
Alabama,,2021-04-25,1546659
Alabama,,2021-04-26,1549782
Alabama,,2021-04-27,1558652
Alabama,,2021-04-28,1568315
Alabama,,2021-04-29,1579093
Alabama,,2021-04-30,1589518
Alabama,,2021-05-01,1599130
Alabama,,2021-05-02,1601433
Alabama,,2021-05-03,1603454
Alabama,,2021-05-04,1609919
Alabama,,2021-05-05,1618791
Alabama,,2021-05-06,1619783
Alabama,,2021-05-07,1636710
Alabama,,2021-05-08,1649688
Alabama,,2021-05-09,1654267
Alabama,,2021-05-10,1657672
Alabama,,2021-05-11,1658191
Alabama,,2021-05-12,1664353
Alabama,,2021-05-13,1678119
Alabama,,2021-05-14,1687875
Alabama,,2021-05-15,1697289
Alabama,,2021-05-16,1699751
Alabama,,2021-05-17,1699915
Alabama,,2021-05-18,1709333
Alabama,,2021-05-19,1709761
Alabama,,2021-05-20,1725694
Alabama,,2021-05-21,1727437
Alabama,,2021-05-22,1736645
Alabama,,2021-05-23,1746820
Alabama,,2021-05-24,1747012
Alabama,,2021-05-25,1754294
Alabama,,2021-05-26,1757607
Alabama,,2021-05-27,1758850
Alabama,,2021-05-28,1763553
Alabama,,2021-05-29,1765515
Alabama,,2021-05-30,1766055
Alabama,,2021-06-01,1766784
Alabama,,2021-06-02,1768055
Alabama,,2021-06-03,1768288
Alabama,,2021-06-04,1771964
Alabama,,2021-06-05,1772245
Alabama,,2021-06-06,1773379
Alabama,,2021-06-07,1774139
Alabama,,2021-06-08,1774535
Alabama,,2021-06-09,1776278
Alabama,,2021-06-10,1787017
Alabama,,2021-06-11,1793119
Alabama,,2021-06-12,1805486
Alabama,,2021-06-13,1810074
Alabama,,2021-06-14,1815885
Alabama,,2021-06-15,1816769
Alabama,,2021-06-16,1822146
Alabama,,2021-06-17,1898131
Alabama,,2021-06-18,1898704
Alabama,,2021-06-19,1909005
Alabama,,2021-06-20,1913032
Alabama,,2021-06-21,1915122
Alabama,,2021-06-22,1918334
Alabama,,2021-06-23,1922707
Alabama,,2021-06-24,1928656
Alabama,,2021-06-25,1928903
Alabama,,2021-06-26,1933773
Alabama,,2021-06-27,1941681
Alabama,,2021-06-28,1948135
Alabama,,2021-06-29,1953410
Alabama,,2021-06-30,1954166
Alabama,,2021-07-01,1962745
Alabama,,2021-07-02,1962952
Alabama,,2021-07-03,1969834
Alabama,,2021-07-04,1969971
Alabama,,2021-07-06,1976343
Alabama,,2021-07-07,1978951
Alabama,,2021-07-08,1982250
Alabama,,2021-07-09,1985582
Alabama,,2021-07-10,1988956
Alabama,,2021-07-11,1992957
Alabama,,2021-07-12,1993099
Alabama,,2021-07-13,2000752
Alabama,,2021-07-14,2000914
Alabama,,2021-07-15,2009200
Alabama,,2021-07-16,2013559
Alabama,,2021-07-17,2013853
Alabama,,2021-07-18,2018807
Alabama,,2021-07-19,2022782
Alabama,,2021-07-20,2024953
Alabama,,2021-07-21,2034814
Alabama,,2021-07-22,2041288
Alabama,,2021-07-23,2041597
Alabama,,2021-07-24,2048890
Alabama,,2021-07-25,2058672
Alabama,,2021-07-26,2067533
Alabama,,2021-07-27,2073358
Alabama,,2021-07-28,2092767
Alabama,,2021-07-29,2093242
Alabama,,2021-07-30,2116551
Alabama,,2021-07-31,2117044
Alabama,,2021-08-01,2130105
Alabama,,2021-08-02,2130309
Alabama,,2021-08-03,2154479
Alabama,,2021-08-04,2164048
Alabama,,2021-08-05,2168426
Alabama,,2021-08-06,2192650
Alabama,,2021-08-07,2207345
Alabama,,2021-08-08,2207724
Alabama,,2021-08-09,2217468
Alabama,,2021-08-10,2231388
Alabama,,2021-08-11,2233401
Alabama,,2021-08-12,2245275
Alabama,,2021-08-13,2256357
Alabama,,2021-08-14,2260327
Alabama,,2021-08-15,2275050
Alabama,,2021-08-16,2289141
Alabama,,2021-08-17,2295863
Alabama,,2021-08-18,2302598
Alabama,,2021-08-19,2312990
Alabama,,2021-08-20,2330695
Alabama,,2021-08-21,2340782
Alabama,,2021-08-22,2345934
Alabama,,2021-08-23,2358550
Alabama,,2021-08-24,2368289
Alabama,,2021-08-25,2370282
Alabama,,2021-08-26,2380869
Alabama,,2021-08-27,2399704
Alabama,,2021-08-28,2415007
Alabama,,2021-08-29,2426453
Alabama,,2021-08-30,2432879
Alabama,,2021-08-31,2442247
Alabama,,2021-09-01,2444342
Alabama,,2021-09-02,2452547
Alabama,,2021-09-03,2461343
Alabama,,2021-09-04,2474109
Alabama,,2021-09-07,2485579
Alabama,,2021-09-08,2491633
Alabama,,2021-09-09,2493041
Alabama,,2021-09-10,2504656
Alabama,,2021-09-11,2506484
Alabama,,2021-09-12,2514065
Alabama,,2021-09-14,2516176
Alabama,,2021-09-15,2520979
Alabama,,2021-09-16,2526998
Alabama,,2021-09-17,2535635
Alabama,,2021-09-18,2537329
Alabama,,2021-09-19,2543475
Alabama,,2021-09-20,2547021
Alabama,,2021-09-21,2552143
Alabama,,2021-09-22,2555237
Alabama,,2021-09-23,2556115
Alabama,,2021-09-24,2558569
Alabama,,2021-09-25,2565735
Alabama,,2021-09-26,2570413
Alabama,,2021-09-27,2572916
Alabama,,2021-09-28,2577657
Alabama,,2021-09-29,2578863
Alabama,,2021-09-30,2583590
Alabama,,2021-10-01,2584258
Alabama,,2021-10-02,2586950
Alabama,,2021-10-03,2592096
Alabama,,2021-10-04,2595947
Alabama,,2021-10-05,2597448
Alabama,,2021-10-06,2600070
Alabama,,2021-10-07,2602402
Alabama,,2021-10-08,2608058
Alabama,,2021-10-09,2609534
Alabama,,2021-10-12,2616672
Alabama,,2021-10-13,2617643
Alabama,,2021-10-14,2620146
Alabama,,2021-10-15,2622428
Alabama,,2021-10-16,2625208
Alabama,,2021-10-17,2629346
Alabama,,2021-10-18,2631267
Alabama,,2021-10-19,2632750
Alabama,,2021-10-20,2634995
Alabama,,2021-10-21,2637734
Alabama,,2021-10-22,2644229
Alabama,,2021-10-23,2648588
Alabama,,2021-10-24,2650133
Alabama,,2021-10-25,2652037
Alabama,,2021-10-26,2653566
Alabama,,2021-10-27,2659115
Alabama,,2021-10-28,2663952
Alabama,,2021-10-29,2668028
Alabama,,2021-10-30,2672040
Alabama,,2021-10-31,2673656
Alabama,,2021-11-01,2676227
Alabama,,2021-11-02,2677664
Alabama,,2021-11-03,2682405
Alabama,,2021-11-04,2685449
Alabama,,2021-11-05,2688481
Alabama,,2021-11-06,2689496
Alabama,,2021-11-07,2693121
Alabama,,2021-11-08,2695826
Alabama,,2021-11-09,2696907
Alabama,,2021-11-10,2701228
Alabama,,2021-11-12,2702878
Alabama,,2021-11-13,2706002
Alabama,,2021-11-14,2714714
Alabama,,2021-11-15,2718301
Alabama,,2021-11-16,2720602
Alabama,,2021-11-17,2724085
Alabama,,2021-11-18,2731073
Alabama,,2021-11-19,2733032
Alabama,,2021-11-20,2740397
Alabama,,2021-11-21,2742393
Alabama,,2021-11-22,2745330
Alabama,,2021-11-23,2749881
Alabama,,2021-11-24,2755913
Alabama,,2021-11-29,2767489
Alabama,,2021-11-30,2772024
Alabama,,2021-12-01,2776759
Alabama,,2021-12-02,2780216
Alabama,,2021-12-03,2788826
Alabama,,2021-12-04,2791469
Alabama,,2021-12-05,2797899
Alabama,,2021-12-06,2801384
Alabama,,2021-12-07,2804132
Alabama,,2021-12-08,2807664
Alabama,,2021-12-09,2809478
Alabama,,2021-12-10,2815260
Alabama,,2021-12-11,2819200
Alabama,,2021-12-12,2820475
Alabama,,2021-12-13,2822664
Alabama,,2021-12-14,2825574
Alabama,,2021-12-15,2828316
Alabama,,2021-12-16,2829865
Alabama,,2021-12-17,2834061
Alabama,,2021-12-18,2837454
Alabama,,2021-12-19,2838792
Alabama,,2021-12-20,2840554
Alabama,,2021-12-21,2842738
Alabama,,2021-12-22,2845635
Alabama,,2021-12-23,2849954
Alabama,,2021-12-27,2860243
Alabama,,2021-12-28,2863485
Alabama,,2021-12-29,2864442
Alabama,,2021-12-30,2868764
Alabama,,2022-01-04,2884819
Alabama,,2022-01-05,2886070
Alabama,,2022-01-06,2890246
Alabama,,2022-01-07,2894430
Alabama,,2022-01-08,2898115
Alabama,,2022-01-09,2900267
Alabama,,2022-01-10,2903320
Alabama,,2022-01-11,2904923
Alabama,,2022-01-12,2908943
Alabama,,2022-01-13,2912053
Alabama,,2022-01-14,2919436
Alabama,,2022-01-15,2922396
Alabama,,2022-01-18,2927217
